w	up_1	down_1	cumul_up_1	cumul_down_1	
8.1875	0.0320548	0.00193524	0.972604	0.982462
8.225	0.0282215	0.00187943	0.973663	0.982533
8.2625	0.0244609	0.00183817	0.97458	0.982602
8.3	0.0212316	0.00181122	0.975376	0.982669
8.3375	0.0186038	0.0017994	0.976074	0.982737
8.375	0.016407	0.00180474	0.976689	0.982805
8.4125	0.0144774	0.00183054	0.977232	0.982873
8.45	0.0127804	0.0018802	0.977711	0.982944
8.4875	0.0113374	0.00195302	0.978136	0.983017
8.525	0.0101428	0.00203593	0.978517	0.983093
8.5625	0.00916155	0.00209816	0.97886	0.983172
8.6	0.00835113	0.00210712	0.979174	0.983251
8.6375	0.00767506	0.00205725	0.979461	0.983328
8.675	0.00710552	0.00196722	0.979728	0.983402
8.7125	0.00662169	0.0018547	0.979976	0.983472
8.75	0.00620837	0.00173257	0.980209	0.983537
8.7875	0.00585516	0.0016151	0.980428	0.983597
8.825	0.00555516	0.00151315	0.980637	0.983654
8.8625	0.00530407	0.0014298	0.980836	0.983707
8.9	0.00510008	0.00136311	0.981027	0.983759
8.9375	0.00494413	0.00130975	0.981212	0.983808
8.975	0.00484008	0.00126669	0.981394	0.983855
9.0125	0.00479421	0.00123169	0.981574	0.983901
9.05	0.00481214	0.00120319	0.981754	0.983946
9.0875	0.00488907	0.0011802	0.981937	0.983991
9.125	0.00499112	0.00116211	0.982125	0.984034
9.1625	0.00504461	0.00114866	0.982314	0.984077
